day,treatment,source,ops_type_merged,city_group,trip_cnt,nonrepeat_cnt,match_rate,is_weekend_holiday,is_rainy,user_cnt,trip_cnt_per_user,nonrepeat_cnt_per_user,trip_cnt_per_user_lag2w,nonrepeat_cnt_per_user_lag2w,match_rate_lag2w,trip_cnt_per_user_lag3w,nonrepeat_cnt_per_user_lag3w,match_rate_lag3w,face_value,face_value_num
2025-12-27,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,4.0,9.0,0.4444444444444444,1,0.0,300.0,0.0133333333333333,0.03,0.0261780104712041,0.0261780104712041,1.0,0.027027027027027,0.0378378378378378,0.75,15,2
2025-12-28,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,4.0,8.0,0.5,1,0.0,300.0,0.0133333333333333,0.0266666666666666,0.031413612565445,0.031413612565445,1.0,0.027027027027027,0.0486486486486486,0.75,15,2
2025-12-29,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,5.0,6.0,0.8571428571428571,0,0.0,292.0,0.0171232876712328,0.0205479452054794,0.0157894736842105,0.0263157894736842,0.6,0.0209424083769633,0.031413612565445,0.6,15,2
2025-12-30,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,7.0,9.0,0.7777777777777778,0,0.0,292.0,0.023972602739726,0.0308219178082191,0.0263157894736842,0.031578947368421,0.8333333333333334,0.0209424083769633,0.0261780104712041,1.0,15,2
2025-12-31,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,17.0,28.0,0.6206896551724138,0,0.0,292.0,0.0582191780821917,0.0958904109589041,0.0263157894736842,0.031578947368421,0.8333333333333334,0.0209424083769633,0.0209424083769633,1.0,15,2
2026-01-01,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,7.0,10.0,0.7777777777777778,1,0.0,292.0,0.023972602739726,0.0342465753424657,0.0157894736842105,0.0157894736842105,1.0,0.0366492146596858,0.0471204188481675,0.7777777777777778,15,2
2026-01-02,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,13.0,16.0,0.8,0,0.0,292.0,0.0445205479452054,0.0547945205479452,0.0105263157894736,0.0210526315789473,0.75,0.0418848167539267,0.0523560209424083,0.75,15,2
2026-01-03,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,5.0,6.0,0.8333333333333334,1,0.0,292.0,0.0171232876712328,0.0205479452054794,0.0052631578947368,0.031578947368421,0.3333333333333333,0.0261780104712041,0.0261780104712041,1.0,15,2
2026-01-04,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,7.0,7.0,1.0,1,0.0,292.0,0.023972602739726,0.023972602739726,0.0421052631578947,0.0473684210526315,0.8888888888888888,0.031413612565445,0.031413612565445,1.0,15,2
2026-01-05,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,3.0,3.0,1.0,0,0.0,190.0,0.0157894736842105,0.0157894736842105,0.02,0.0233333333333333,0.8571428571428571,0.0157894736842105,0.0263157894736842,0.6,15,2
2026-01-06,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,1.0,1.0,1.0,0,0.0,190.0,0.0052631578947368,0.0052631578947368,0.02,0.0233333333333333,0.8571428571428571,0.0263157894736842,0.031578947368421,0.8333333333333334,15,2
2026-01-07,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,3.0,3.0,1.0,0,0.0,190.0,0.0157894736842105,0.0157894736842105,0.03,0.0333333333333333,0.9090909090909092,0.0263157894736842,0.031578947368421,0.8333333333333334,15,2
2026-01-08,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,4.0,4.0,1.0,0,0.0,190.0,0.0210526315789473,0.0210526315789473,0.0333333333333333,0.0466666666666666,0.7857142857142857,0.0157894736842105,0.0157894736842105,1.0,15,2
2026-01-09,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,12.0,14.0,0.8571428571428571,0,0.0,190.0,0.0631578947368421,0.0736842105263157,0.0366666666666666,0.0566666666666666,0.8235294117647058,0.0105263157894736,0.0210526315789473,0.75,15,2
2026-01-10,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,6.0,10.0,0.6666666666666666,1,0.0,190.0,0.031578947368421,0.0526315789473684,0.0133333333333333,0.03,0.4444444444444444,0.0052631578947368,0.031578947368421,0.3333333333333333,15,2
2026-01-11,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,6.0,6.0,1.0,1,0.0,190.0,0.031578947368421,0.031578947368421,0.0133333333333333,0.0266666666666666,0.5,0.0421052631578947,0.0473684210526315,0.8888888888888888,15,2
2025-11-03,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,16.0,23.0,0.8333333333333334,0,0.5,1005.0,0.0159203980099502,0.0228855721393034,,,,,,,15,2
2025-11-04,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,23.0,28.0,0.925925925925926,0,0.375,1005.0,0.0228855721393034,0.0278606965174129,,,,,,,15,2
2025-11-05,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,27.0,40.0,0.75,0,0.625,1005.0,0.026865671641791,0.0398009950248756,,,,,,,15,2
2025-11-06,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,19.0,26.0,0.7692307692307693,0,0.125,1005.0,0.0189054726368159,0.0258706467661691,,,,,,,15,2
